State Code,FIPS County Code,County Name,Metal Level,Issuer Name,Premium Adult Individual Age 21,Medical Deductible - Individual - Standard,Medical Maximum Out Of Pocket - Individual - Standard
AK,2013,Aleutians East,Gold,Premera Blue Cross Blue Shield of Alaska,$491.74,"$1,500","$6,300"
AK,2013,Aleutians East,Silver,Premera Blue Cross Blue Shield of Alaska,$566.02,"$4,500","$7,700"
AK,2013,Aleutians East,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$374.36,"$6,350","$8,550"
AK,2013,Aleutians East,Silver,Premera Blue Cross Blue Shield of Alaska,$574.56,"$3,000","$7,000"
AK,2013,Aleutians East,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$372.85,"$5,800","$7,000"
AK,2013,Aleutians East,Gold,Premera Blue Cross Blue Shield of Alaska,$491.06,"$1,500","$6,300"
AK,2013,Aleutians East,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$373.70,"$6,350","$8,550"
AK,2016,Aleutians West,Gold,Premera Blue Cross Blue Shield of Alaska,$491.74,"$1,500","$6,300"
AK,2016,Aleutians West,Silver,Premera Blue Cross Blue Shield of Alaska,$566.02,"$4,500","$7,700"
AK,2016,Aleutians West,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$374.36,"$6,350","$8,550"
AK,2016,Aleutians West,Silver,Premera Blue Cross Blue Shield of Alaska,$574.56,"$3,000","$7,000"
AK,2016,Aleutians West,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$372.85,"$5,800","$7,000"
AK,2016,Aleutians West,Gold,Premera Blue Cross Blue Shield of Alaska,$491.06,"$1,500","$6,300"
AK,2016,Aleutians West,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$373.70,"$6,350","$8,550"
AK,2020,Anchorage,Gold,Premera Blue Cross Blue Shield of Alaska,$486.87,"$1,500","$6,300"
AK,2020,Anchorage,Silver,Premera Blue Cross Blue Shield of Alaska,$560.42,"$4,500","$7,700"
AK,2020,Anchorage,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$370.65,"$6,350","$8,550"
AK,2020,Anchorage,Silver,Premera Blue Cross Blue Shield of Alaska,$568.87,"$3,000","$7,000"
AK,2020,Anchorage,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$369.16,"$5,800","$7,000"
AK,2020,Anchorage,Gold,Premera Blue Cross Blue Shield of Alaska,$486.20,"$1,500","$6,300"
AK,2020,Anchorage,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$370.00,"$6,350","$8,550"
AK,2050,Bethel,Gold,Premera Blue Cross Blue Shield of Alaska,$486.87,"$1,500","$6,300"
AK,2050,Bethel,Silver,Premera Blue Cross Blue Shield of Alaska,$560.42,"$4,500","$7,700"
AK,2050,Bethel,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$370.65,"$6,350","$8,550"
AK,2050,Bethel,Silver,Premera Blue Cross Blue Shield of Alaska,$568.87,"$3,000","$7,000"
AK,2050,Bethel,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$369.16,"$5,800","$7,000"
AK,2050,Bethel,Gold,Premera Blue Cross Blue Shield of Alaska,$486.20,"$1,500","$6,300"
AK,2050,Bethel,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$370.00,"$6,350","$8,550"
AK,2060,Bristol Bay,Gold,Premera Blue Cross Blue Shield of Alaska,$491.74,"$1,500","$6,300"
AK,2060,Bristol Bay,Silver,Premera Blue Cross Blue Shield of Alaska,$566.02,"$4,500","$7,700"
AK,2060,Bristol Bay,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$374.36,"$6,350","$8,550"
AK,2060,Bristol Bay,Silver,Premera Blue Cross Blue Shield of Alaska,$574.56,"$3,000","$7,000"
AK,2060,Bristol Bay,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$372.85,"$5,800","$7,000"
AK,2060,Bristol Bay,Gold,Premera Blue Cross Blue Shield of Alaska,$491.06,"$1,500","$6,300"
AK,2060,Bristol Bay,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$373.70,"$6,350","$8,550"
AK,2063,Chugach,Gold,Premera Blue Cross Blue Shield of Alaska,$486.87,"$1,500","$6,300"
AK,2063,Chugach,Silver,Premera Blue Cross Blue Shield of Alaska,$560.42,"$4,500","$7,700"
AK,2063,Chugach,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$370.65,"$6,350","$8,550"
AK,2063,Chugach,Silver,Premera Blue Cross Blue Shield of Alaska,$568.87,"$3,000","$7,000"
AK,2063,Chugach,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$369.16,"$5,800","$7,000"
AK,2063,Chugach,Gold,Premera Blue Cross Blue Shield of Alaska,$486.20,"$1,500","$6,300"
AK,2063,Chugach,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$370.00,"$6,350","$8,550"
AK,2066,Copper River,Gold,Premera Blue Cross Blue Shield of Alaska,$486.87,"$1,500","$6,300"
AK,2066,Copper River,Silver,Premera Blue Cross Blue Shield of Alaska,$560.42,"$4,500","$7,700"
AK,2066,Copper River,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$370.65,"$6,350","$8,550"
AK,2066,Copper River,Silver,Premera Blue Cross Blue Shield of Alaska,$568.87,"$3,000","$7,000"
AK,2066,Copper River,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$369.16,"$5,800","$7,000"
AK,2066,Copper River,Gold,Premera Blue Cross Blue Shield of Alaska,$486.20,"$1,500","$6,300"
AK,2066,Copper River,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$370.00,"$6,350","$8,550"
AK,2068,Denali,Gold,Premera Blue Cross Blue Shield of Alaska,$491.74,"$1,500","$6,300"
AK,2068,Denali,Silver,Premera Blue Cross Blue Shield of Alaska,$566.02,"$4,500","$7,700"
AK,2068,Denali,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$374.36,"$6,350","$8,550"
AK,2068,Denali,Silver,Premera Blue Cross Blue Shield of Alaska,$574.56,"$3,000","$7,000"
AK,2068,Denali,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$372.85,"$5,800","$7,000"
