State Code,FIPS County Code,County Name,Metal Level,Issuer Name,Premium Adult Individual Age 21,Medical Deductible - Individual - Standard,Medical Maximum Out Of Pocket - Individual - Standard
AK,2013,Aleutians East,Gold,Premera Blue Cross Blue Shield of Alaska,$528.00,"$1,500","$6,000"
AK,2013,Aleutians East,Silver,Premera Blue Cross Blue Shield of Alaska,$582.00,"$4,500","$7,350"
AK,2013,Aleutians East,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$391.00,"$6,350","$7,800"
AK,2013,Aleutians East,Silver,Premera Blue Cross Blue Shield of Alaska,$577.00,"$3,000","$6,600"
AK,2013,Aleutians East,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$380.00,"$5,250","$6,700"
AK,2016,Aleutians West,Gold,Premera Blue Cross Blue Shield of Alaska,$528.00,"$1,500","$6,000"
AK,2016,Aleutians West,Silver,Premera Blue Cross Blue Shield of Alaska,$582.00,"$4,500","$7,350"
AK,2016,Aleutians West,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$391.00,"$6,350","$7,800"
AK,2016,Aleutians West,Silver,Premera Blue Cross Blue Shield of Alaska,$577.00,"$3,000","$6,600"
AK,2016,Aleutians West,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$380.00,"$5,250","$6,700"
AK,2020,Anchorage,Gold,Premera Blue Cross Blue Shield of Alaska,$502.00,"$1,500","$6,000"
AK,2020,Anchorage,Silver,Premera Blue Cross Blue Shield of Alaska,$554.00,"$4,500","$7,350"
AK,2020,Anchorage,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$372.00,"$6,350","$7,800"
AK,2020,Anchorage,Silver,Premera Blue Cross Blue Shield of Alaska,$549.00,"$3,000","$6,600"
AK,2020,Anchorage,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,$361.00,"$5,250","$6,700"
AK,2050,Bethel,Gold,Premera Blue Cross Blue Shield of Alaska,$502.00,"$1,500","$6,000"
AK,2050,Bethel,Silver,Premera Blue Cross Blue Shield of Alaska,$554.00,"$4,500","$7,350"
