State Code,FIPS County Code,County Name,Metal Level,Issuer Name,Premium Adult Individual Age 60 ,Medical Deductible - Individual - Standard,Medical Maximum Out Of Pocket - Individual - Standard
AK,2013,Aleutians East,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,334.58","$1,500","$6,300"
AK,2013,Aleutians East,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,536.19","$4,500","$7,700"
AK,2013,Aleutians East,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,016.00","$6,350","$8,550"
AK,2013,Aleutians East,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,559.35","$3,000","$7,000"
AK,2013,Aleutians East,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,011.92","$5,800","$7,000"
AK,2013,Aleutians East,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,332.74","$1,500","$6,300"
AK,2013,Aleutians East,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,014.22","$6,350","$8,550"
AK,2016,Aleutians West,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,334.58","$1,500","$6,300"
AK,2016,Aleutians West,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,536.19","$4,500","$7,700"
AK,2016,Aleutians West,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,016.00","$6,350","$8,550"
AK,2016,Aleutians West,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,559.35","$3,000","$7,000"
AK,2016,Aleutians West,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,011.92","$5,800","$7,000"
AK,2016,Aleutians West,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,332.74","$1,500","$6,300"
AK,2016,Aleutians West,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,014.22","$6,350","$8,550"
AK,2020,Anchorage,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,321.37","$1,500","$6,300"
AK,2020,Anchorage,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,520.98","$4,500","$7,700"
AK,2020,Anchorage,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,005.94","$6,350","$8,550"
AK,2020,Anchorage,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,543.91","$3,000","$7,000"
AK,2020,Anchorage,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,001.90","$5,800","$7,000"
AK,2020,Anchorage,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,319.55","$1,500","$6,300"
AK,2020,Anchorage,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,004.18","$6,350","$8,550"
AK,2050,Bethel,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,321.37","$1,500","$6,300"
AK,2050,Bethel,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,520.98","$4,500","$7,700"
AK,2050,Bethel,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,005.94","$6,350","$8,550"
AK,2050,Bethel,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,543.91","$3,000","$7,000"
AK,2050,Bethel,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,001.90","$5,800","$7,000"
AK,2050,Bethel,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,319.55","$1,500","$6,300"
AK,2050,Bethel,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,004.18","$6,350","$8,550"
AK,2060,Bristol Bay,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,334.58","$1,500","$6,300"
AK,2060,Bristol Bay,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,536.19","$4,500","$7,700"
AK,2060,Bristol Bay,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,016.00","$6,350","$8,550"
AK,2060,Bristol Bay,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,559.35","$3,000","$7,000"
AK,2060,Bristol Bay,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,011.92","$5,800","$7,000"
AK,2060,Bristol Bay,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,332.74","$1,500","$6,300"
AK,2060,Bristol Bay,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,014.22","$6,350","$8,550"
AK,2063,Chugach,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,321.37","$1,500","$6,300"
AK,2063,Chugach,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,520.98","$4,500","$7,700"
AK,2063,Chugach,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,005.94","$6,350","$8,550"
AK,2063,Chugach,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,543.91","$3,000","$7,000"
AK,2063,Chugach,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,001.90","$5,800","$7,000"
