date_updated,state,start_date,end_date,tot_cases,new_cases,tot_deaths,new_deaths,new_historic_cases,new_historic_deaths
10/1/20,RMI,09/24/2020,09/30/2020,0,0,0,0,0,0
10/1/20,UT,09/24/2020,09/30/2020,73450,7254,457,15,0,0
10/1/20,PA,09/24/2020,09/30/2020,163900,6730,8181,78,0,0
3/5/20,AK,02/27/2020,3/4/20,0,0,0,0,0,0
10/1/20,MA,09/24/2020,09/30/2020,132137,3606,9456,109,0,0
10/1/20,GA,09/24/2020,09/30/2020,318033,7862,7016,255,0,0
10/1/20,PW,09/24/2020,09/30/2020,0,0,0,0,0,0
10/1/20,PR,09/24/2020,09/30/2020,24001,3564,661,44,0,0
10/1/20,CO,09/24/2020,09/30/2020,70727,4424,2002,24,0,0
10/1/20,WV,09/24/2020,09/30/2020,15850,1335,351,31,0,0
10/1/20,OH,09/24/2020,09/30/2020,153988,7234,4471,129,0,0
10/1/20,MS,09/24/2020,09/30/2020,98191,3620,2968,98,0,0
10/1/20,VT,09/24/2020,09/30/2020,1747,28,63,0,0,0
10/1/20,AS,09/24/2020,09/30/2020,0,0,0,0,0,0
10/1/20,FL,09/24/2020,09/30/2020,706519,16020,14313,697,0,0
10/1/20,MD,09/24/2020,09/30/2020,124726,3429,3948,47,0,0
10/1/20,NYC,09/24/2020,09/30/2020,246929,3435,23799,33,0,0
10/1/20,IN,09/24/2020,09/30/2020,120022,6687,3643,112,0,0
10/1/20,SD,09/24/2020,09/30/2020,22389,2756,223,21,0,0
10/1/20,NM,09/24/2020,09/30/2020,29434,1453,877,20,0,0
10/1/20,VA,09/24/2020,09/30/2020,148270,5677,3205,116,0,0
10/1/20,CT,09/24/2020,09/30/2020,57550,1235,4508,11,0,0
10/1/20,NJ,09/24/2020,09/30/2020,210663,4892,16122,44,0,0
10/1/20,WY,09/24/2020,09/30/2020,5948,778,50,0,0,0
10/1/20,NV,09/24/2020,09/30/2020,79980,3173,1600,44,0,0
10/1/20,NE,09/24/2020,09/30/2020,44036,3110,684,34,0,0
10/1/20,ID,09/24/2020,09/30/2020,42048,3305,469,16,0,0
10/1/20,OR,09/24/2020,09/30/2020,33508,2005,559,22,0,0
10/1/20,KY,09/24/2020,09/30/2020,68841,5328,1173,50,0,0
10/1/20,MT,09/24/2020,09/30/2020,13072,2159,180,15,0,0
10/1/20,WI,09/24/2020,09/30/2020,122275,16343,1402,74,0,0
10/1/20,MN,09/24/2020,09/30/2020,99023,7094,2307,103,0,0
10/1/20,NH,09/24/2020,09/30/2020,8267,260,439,1,0,0
10/1/20,FSM,09/24/2020,09/30/2020,0,0,0,0,0,0
10/1/20,LA,09/24/2020,09/30/2020,167455,3566,5511,103,0,0
10/1/20,DC,09/24/2020,09/30/2020,15326,276,627,6,0,0
10/1/20,SC,09/24/2020,09/30/2020,147957,6269,3376,114,0,0
10/1/20,RI,09/24/2020,09/30/2020,23467,722,1125,7,0,0
10/1/20,CA,09/24/2020,09/30/2020,818187,23721,15654,619,0,0
10/1/20,NC,09/24/2020,09/30/2020,212628,10436,3854,197,0,0
10/1/20,MI,09/24/2020,09/30/2020,138010,6758,7078,69,0,0
10/1/20,AZ,09/24/2020,09/30/2020,218508,3220,5653,126,0,0
10/1/20,TX,09/24/2020,09/30/2020,766740,29194,16087,626,0,0
10/1/20,MO,09/24/2020,09/30/2020,130091,8844,2088,125,0,0
10/1/20,HI,09/24/2020,09/30/2020,12539,777,288,16,0,0
10/1/20,OK,09/24/2020,09/30/2020,87199,7034,1031,61,0,0
10/1/20,WA,09/24/2020,09/30/2020,89248,3998,1405,63,0,0
10/1/20,TN,09/24/2020,09/30/2020,194513,9484,2452,180,0,0
10/1/20,ME,09/24/2020,09/30/2020,5389,218,141,1,0,0
10/1/20,VI,09/24/2020,09/30/2020,1318,28,20,1,0,0
10/1/20,AL,09/24/2020,09/30/2020,154772,7875,2530,65,0,0
10/1/20,DE,09/24/2020,09/30/2020,20494,768,669,13,0,0
10/1/20,ND,09/24/2020,09/30/2020,21847,2866,263,51,0,0
10/1/20,MP,09/24/2020,09/30/2020,70,1,2,0,0,0
10/1/20,AR,09/24/2020,09/30/2020,84694,4991,1830,130,0,0
10/1/20,IA,09/24/2020,09/30/2020,89249,6378,1357,60,0,0
10/1/20,NY,09/24/2020,09/30/2020,214608,3803,9263,26,0,0
10/1/20,IL,09/24/2020,09/30/2020,295723,14420,8915,171,0,0
10/1/20,GU,09/24/2020,09/30/2020,2488,253,49,12,0,0
10/1/20,KS,09/24/2020,09/30/2020,60842,4533,699,58,0,0
4/2/20,GA,03/26/2020,4/1/20,4639,3397,140,100,0,0
4/2/20,AL,03/26/2020,4/1/20,1175,703,26,25,0,0
4/2/20,MA,03/26/2020,4/1/20,11263,6900,122,107,0,0
4/2/20,PW,03/26/2020,4/1/20,0,0,0,0,0,0
4/2/20,ND,03/26/2020,4/1/20,141,96,3,3,0,0
4/2/20,IL,03/26/2020,4/1/20,6982,5118,141,122,0,0
4/2/20,CO,03/26/2020,4/1/20,2284,1680,86,60,0,0
4/2/20,UT,03/26/2020,4/1/20,984,660,5,4,0,0
4/2/20,WV,03/26/2020,4/1/20,191,152,1,1,0,0
4/2/20,TN,03/26/2020,4/1/20,2627,1712,24,21,0,0
4/2/20,MS,03/26/2020,4/1/20,1072,695,20,17,0,0
4/2/20,MP,03/26/2020,4/1/20,2,2,0,0,0,0
4/2/20,SD,03/26/2020,4/1/20,129,88,2,1,0,0
4/2/20,FL,03/26/2020,4/1/20,6956,5274,87,64,0,0
4/2/20,IN,03/26/2020,4/1/20,2563,2084,134,100,0,0
4/2/20,OH,03/26/2020,4/1/20,2548,1843,108,82,0,0
4/2/20,MO,03/26/2020,4/1/20,1921,1473,24,15,0,0
4/2/20,VI,03/26/2020,4/1/20,30,13,0,0,0,0
4/2/20,NY,03/26/2020,4/1/20,36509,23524,733,617,0,0
4/2/20,MD,03/26/2020,4/1/20,1986,1561,31,27,0,0
4/2/20,DC,03/26/2020,4/1/20,586,355,11,8,0,0
4/2/20,MT,03/26/2020,4/1/20,207,142,5,5,0,0
4/2/20,WY,03/26/2020,4/1/20,130,86,0,0,0,0
4/2/20,OR,03/26/2020,4/1/20,735,469,19,9,0,0
4/2/20,ID,03/26/2020,4/1/20,566,476,9,9,0,0
4/2/20,MN,03/26/2020,4/1/20,689,406,38,28,0,0
4/2/20,MI,03/26/2020,4/1/20,9716,7251,370,319,0,0
4/2/20,NH,03/26/2020,4/1/20,367,259,3,2,0,0
4/2/20,RI,03/26/2020,4/1/20,311,223,12,11,0,0
4/2/20,KY,03/26/2020,4/1/20,621,427,18,13,0,0
4/2/20,NC,03/26/2020,4/1/20,1855,1194,25,21,0,0
4/2/20,LA,03/26/2020,4/1/20,6424,4628,273,208,0,0
4/2/20,NE,03/26/2020,4/1/20,213,139,12,12,0,0
4/2/20,CT,03/26/2020,4/1/20,4423,3217,85,66,0,0
4/2/20,VA,03/26/2020,4/1/20,1483,1088,34,25,0,0
4/2/20,WI,03/26/2020,4/1/20,1556,935,54,44,0,0
4/2/20,AZ,03/26/2020,4/1/20,1413,1012,32,26,0,0
4/2/20,NV,03/26/2020,4/1/20,1279,956,31,25,0,0
