State Code,FIPS County Code,County Name,Metal Level,Issuer Name,Premium Adult Individual Age 21,Medical Deductible - Individual - Standard,Medical Maximum Out Of Pocket - Individual - Standard
AK,2013,Aleutians East,Gold,Premera Blue Cross Blue Shield of Alaska, $866.00 ,"$1,500","$5,000"
AK,2013,Aleutians East,Silver,Premera Blue Cross Blue Shield of Alaska, $743.00 ,"$3,000","$7,150"
AK,2013,Aleutians East,Bronze,Premera Blue Cross Blue Shield of Alaska, $580.00 ,"$6,350","$7,150"
AK,2013,Aleutians East,Bronze,Premera Blue Cross Blue Shield of Alaska, $578.00 ,"$5,250","$6,500"
AK,2013,Aleutians East,Silver,Premera Blue Cross Blue Shield of Alaska, $723.00 ,"$3,000","$4,100"
AK,2016,Aleutians West,Gold,Premera Blue Cross Blue Shield of Alaska, $866.00 ,"$1,500","$5,000"
AK,2016,Aleutians West,Silver,Premera Blue Cross Blue Shield of Alaska, $743.00 ,"$3,000","$7,150"
AK,2016,Aleutians West,Bronze,Premera Blue Cross Blue Shield of Alaska, $580.00 ,"$6,350","$7,150"
AK,2016,Aleutians West,Bronze,Premera Blue Cross Blue Shield of Alaska, $578.00 ,"$5,250","$6,500"
AK,2016,Aleutians West,Silver,Premera Blue Cross Blue Shield of Alaska, $723.00 ,"$3,000","$4,100"
AK,2020,Anchorage,Gold,Premera Blue Cross Blue Shield of Alaska, $824.00 ,"$1,500","$5,000"
AK,2020,Anchorage,Silver,Premera Blue Cross Blue Shield of Alaska, $707.00 ,"$3,000","$7,150"
AK,2020,Anchorage,Bronze,Premera Blue Cross Blue Shield of Alaska, $551.00 ,"$6,350","$7,150"
AK,2020,Anchorage,Bronze,Premera Blue Cross Blue Shield of Alaska, $550.00 ,"$5,250","$6,500"
AK,2020,Anchorage,Silver,Premera Blue Cross Blue Shield of Alaska, $688.00 ,"$3,000","$4,100"
AK,2050,Bethel,Gold,Premera Blue Cross Blue Shield of Alaska, $824.00 ,"$1,500","$5,000"
AK,2050,Bethel,Silver,Premera Blue Cross Blue Shield of Alaska, $707.00 ,"$3,000","$7,150"
AK,2050,Bethel,Bronze,Premera Blue Cross Blue Shield of Alaska, $551.00 ,"$6,350","$7,150"
AK,2050,Bethel,Bronze,Premera Blue Cross Blue Shield of Alaska, $550.00 ,"$5,250","$6,500"
AK,2050,Bethel,Silver,Premera Blue Cross Blue Shield of Alaska, $688.00 ,"$3,000","$4,100"
AK,2060,Bristol Bay,Gold,Premera Blue Cross Blue Shield of Alaska, $866.00 ,"$1,500","$5,000"
AK,2060,Bristol Bay,Silver,Premera Blue Cross Blue Shield of Alaska, $743.00 ,"$3,000","$7,150"
AK,2060,Bristol Bay,Bronze,Premera Blue Cross Blue Shield of Alaska, $580.00 ,"$6,350","$7,150"
AK,2060,Bristol Bay,Bronze,Premera Blue Cross Blue Shield of Alaska, $578.00 ,"$5,250","$6,500"
AK,2060,Bristol Bay,Silver,Premera Blue Cross Blue Shield of Alaska, $723.00 ,"$3,000","$4,100"
AK,2068,Denali,Gold,Premera Blue Cross Blue Shield of Alaska, $866.00 ,"$1,500","$5,000"
AK,2068,Denali,Silver,Premera Blue Cross Blue Shield of Alaska, $743.00 ,"$3,000","$7,150"
AK,2068,Denali,Bronze,Premera Blue Cross Blue Shield of Alaska, $580.00 ,"$6,350","$7,150"
AK,2068,Denali,Bronze,Premera Blue Cross Blue Shield of Alaska, $578.00 ,"$5,250","$6,500"
AK,2068,Denali,Silver,Premera Blue Cross Blue Shield of Alaska, $723.00 ,"$3,000","$4,100"
AK,2070,Dillingham,Gold,Premera Blue Cross Blue Shield of Alaska, $824.00 ,"$1,500","$5,000"
AK,2070,Dillingham,Silver,Premera Blue Cross Blue Shield of Alaska, $707.00 ,"$3,000","$7,150"
AK,2070,Dillingham,Bronze,Premera Blue Cross Blue Shield of Alaska, $551.00 ,"$6,350","$7,150"
AK,2070,Dillingham,Bronze,Premera Blue Cross Blue Shield of Alaska, $550.00 ,"$5,250","$6,500"
AK,2070,Dillingham,Silver,Premera Blue Cross Blue Shield of Alaska, $688.00 ,"$3,000","$4,100"
AK,2090,Fairbanks North Star,Gold,Premera Blue Cross Blue Shield of Alaska, $866.00 ,"$1,500","$5,000"
AK,2090,Fairbanks North Star,Silver,Premera Blue Cross Blue Shield of Alaska, $743.00 ,"$3,000","$7,150"
AK,2090,Fairbanks North Star,Bronze,Premera Blue Cross Blue Shield of Alaska, $580.00 ,"$6,350","$7,150"
AK,2090,Fairbanks North Star,Bronze,Premera Blue Cross Blue Shield of Alaska, $578.00 ,"$5,250","$6,500"
AK,2090,Fairbanks North Star,Silver,Premera Blue Cross Blue Shield of Alaska, $723.00 ,"$3,000","$4,100"
AK,2100,Haines,Gold,Premera Blue Cross Blue Shield of Alaska, $845.00 ,"$1,500","$5,000"
AK,2100,Haines,Silver,Premera Blue Cross Blue Shield of Alaska, $725.00 ,"$3,000","$7,150"
AK,2100,Haines,Bronze,Premera Blue Cross Blue Shield of Alaska, $566.00 ,"$6,350","$7,150"
AK,2100,Haines,Bronze,Premera Blue Cross Blue Shield of Alaska, $564.00 ,"$5,250","$6,500"
AK,2100,Haines,Silver,Premera Blue Cross Blue Shield of Alaska, $705.00 ,"$3,000","$4,100"
AK,2105,Hoonah Angoon,Gold,Premera Blue Cross Blue Shield of Alaska, $845.00 ,"$1,500","$5,000"
AK,2105,Hoonah Angoon,Silver,Premera Blue Cross Blue Shield of Alaska, $725.00 ,"$3,000","$7,150"
AK,2105,Hoonah Angoon,Bronze,Premera Blue Cross Blue Shield of Alaska, $566.00 ,"$6,350","$7,150"
AK,2105,Hoonah Angoon,Bronze,Premera Blue Cross Blue Shield of Alaska, $564.00 ,"$5,250","$6,500"
AK,2105,Hoonah Angoon,Silver,Premera Blue Cross Blue Shield of Alaska, $705.00 ,"$3,000","$4,100"
AK,2110,Juneau,Gold,Premera Blue Cross Blue Shield of Alaska, $845.00 ,"$1,500","$5,000"
AK,2110,Juneau,Silver,Premera Blue Cross Blue Shield of Alaska, $725.00 ,"$3,000","$7,150"
AK,2110,Juneau,Bronze,Premera Blue Cross Blue Shield of Alaska, $566.00 ,"$6,350","$7,150"
AK,2110,Juneau,Bronze,Premera Blue Cross Blue Shield of Alaska, $564.00 ,"$5,250","$6,500"
AK,2110,Juneau,Silver,Premera Blue Cross Blue Shield of Alaska, $705.00 ,"$3,000","$4,100"
AK,2122,Kenai Peninsula,Gold,Premera Blue Cross Blue Shield of Alaska, $866.00 ,"$1,500","$5,000"
AK,2122,Kenai Peninsula,Silver,Premera Blue Cross Blue Shield of Alaska, $743.00 ,"$3,000","$7,150"
AK,2122,Kenai Peninsula,Bronze,Premera Blue Cross Blue Shield of Alaska, $580.00 ,"$6,350","$7,150"
AK,2122,Kenai Peninsula,Bronze,Premera Blue Cross Blue Shield of Alaska, $578.00 ,"$5,250","$6,500"
