State Code,Time Trend,Unity
AL,2017,Rep
AK,2017,Divided
AZ,2017,Rep
AR,2017,Rep
CA,2017,Dem
CO,2017,Divided
CT,2017,Divided
DE,2017,Dem
FL,2017,Rep
GA,2017,Rep
HI,2017,Dem
ID,2017,Rep
IL,2017,Divided
IN,2017,Rep
IA,2017,Rep
KS,2017,Rep
KY,2017,Rep
KA,2017,Divided
ME,2017,Divided
MD,2017,Divided
MA,2017,Divided
MI,2017,Rep
MN,2017,Divided
MS,2017,Rep
MO,2017,Rep
MT,2017,Divided
NE,2017,
NV,2017,Divided
NH,2017,Rep
NJ,2017,Divided
NM,2017,Divided
NY,2017,Dem
NC,2017,Divided
ND,2017,Rep
OH,2017,Rep
OK,2017,Rep
OR,2017,Dem
PA,2017,Divided
RI,2017,Dem
SC,2017,Rep
SD,2017,Rep
TN,2017,Rep
TX,2017,Rep
UT,2017,Rep
VT,2017,Divided
VA,2017,Divided
WA,2017,Dem
WV,2017,Divided
WI,2017,Rep
WY,2017,Rep
AL,2018,Rep
AK,2018,Divided
AZ,2018,Rep
AR,2018,Rep
CA,2018,Dem
CO,2018,Divided
CT,2018,Divided
DE,2018,Dem
FL,2018,Rep
GA,2018,Rep
HI,2018,Dem
ID,2018,Rep
IL,2018,Divided
IN,2018,Rep
IA,2018,Rep
KS,2018,Rep
KY,2018,Rep
KA,2018,Divided
ME,2018,Divided
MD,2018,Divided
MA,2018,Divided
MI,2018,Rep
MN,2018,Divided
MS,2018,Rep
MO,2018,Rep
MT,2018,Divided
NE,2018,
NV,2018,Divided
NH,2018,Rep
NJ,2018,Dem
NM,2018,Divided
NY,2018,Divided
NC,2018,Divided
ND,2018,Rep
OH,2018,Rep
OK,2018,Rep
OR,2018,Dem
PA,2018,Divided
RI,2018,Dem
SC,2018,Rep
SD,2018,Rep
TN,2018,Rep
TX,2018,Rep
UT,2018,Rep
VT,2018,Divided
VA,2018,Divided
WA,2018,Dem
WV,2018,Rep
WI,2018,Rep
WY,2018,Rep
AL,2019,Rep
AK,2019,Rep
AZ,2019,Rep
AR,2019,Rep
CA,2019,Dem
CO,2019,Dem
CT,2019,Dem
DE,2019,Dem
FL,2019,Rep
GA,2019,Rep
HI,2019,Dem
ID,2019,Rep
IL,2019,Dem
IN,2019,Rep
IA,2019,Rep
KS,2019,Divided
KY,2019,Rep
KA,2019,Divided
ME,2019,Dem
MD,2019,Divided
MA,2019,Divided
MI,2019,Divided
MN,2019,Divided
MS,2019,Rep
MO,2019,Rep
MT,2019,Divided
NE,2019,
NV,2019,Dem
NH,2019,Divided
NJ,2019,Dem
NM,2019,Dem
NY,2019,Dem
NC,2019,Divided
ND,2019,Rep
OH,2019,Rep
OK,2019,Rep
OR,2019,Dem
PA,2019,Divided
RI,2019,Dem
SC,2019,Rep
SD,2019,Rep
TN,2019,Rep
TX,2019,Rep
UT,2019,Rep
VT,2019,Divided
VA,2019,Divided
WA,2019,Dem
WV,2019,Rep
WI,2019,Divided
WY,2019,Rep
AL,2020,Rep
AK,2020,Rep
AZ,2020,Rep
AR,2020,Rep
CA,2020,Dem
CO,2020,Dem
CT,2020,Dem
DE,2020,Dem
FL,2020,Rep
GA,2020,Rep
HI,2020,Dem
ID,2020,Rep
IL,2020,Dem
IN,2020,Rep
IA,2020,Rep
KS,2020,Divided
KY,2020,Divided
KA,2020,Divided
ME,2020,Dem
MD,2020,Divided
MA,2020,Divided
MI,2020,Divided
MN,2020,Divided
MS,2020,Rep
MO,2020,Rep
MT,2020,Divided
NE,2020,
NV,2020,Dem
NH,2020,Divided
NJ,2020,Dem
NM,2020,Dem
NY,2020,Dem
NC,2020,Divided
ND,2020,Rep
OH,2020,Rep
OK,2020,Rep
OR,2020,Dem
PA,2020,Divided
RI,2020,Dem
SC,2020,Rep
SD,2020,Rep
TN,2020,Rep
TX,2020,Rep
UT,2020,Rep
VT,2020,Divided
VA,2020,Dem
WA,2020,Dem
WV,2020,Rep
WI,2020,Divided
WY,2020,Rep
AL,2021,Rep
AK,2021,Rep
AZ,2021,Rep
AR,2021,Rep
CA,2021,Dem
CO,2021,Dem
CT,2021,Dem
DE,2021,Dem
FL,2021,Rep
GA,2021,Rep
HI,2021,Dem
ID,2021,Rep
IL,2021,Dem
IN,2021,Rep
IA,2021,Rep
KS,2021,Divided
KY,2021,Divided
KA,2021,Divided
ME,2021,Dem
MD,2021,Divided
MA,2021,Divided
MI,2021,Divided
MN,2021,Divided
MS,2021,Rep
MO,2021,Rep
MT,2021,Rep
NE,2021,
NV,2021,Dem
NH,2021,Rep
NJ,2021,Dem
NM,2021,Dem
NY,2021,Dem
NC,2021,Divided
ND,2021,Rep
OH,2021,Rep
OK,2021,Rep
OR,2021,Dem
PA,2021,Divided
RI,2021,Dem
SC,2021,Rep
SD,2021,Rep
TN,2021,Rep
TX,2021,Rep
UT,2021,Rep
VT,2021,Divided
VA,2021,Dem
WA,2021,Dem
WV,2021,Rep
WI,2021,Divided
WY,2021,Rep
AL,2022,Rep
AK,2022,Rep
AZ,2022,Divided
AR,2022,Rep
CA,2022,Dem
CO,2022,Dem
CT,2022,Dem
DE,2022,Dem
FL,2022,Rep
GA,2022,Rep
HI,2022,Dem
ID,2022,Rep
IL,2022,Dem
