,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,
State_Code,Leg Control,Gov. Party,State Control,Leg Control,Gov. Party,State Control,Leg Control,Gov. Party,State Control,Leg Control,Gov. Party,State Control,Leg Control,Gov. Party,State Control,Leg Control,Gov. Party,State Control,Leg Control,Gov. Party,State Control
AL,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
AK,Rep,Ind,Divided,Rep,Ind,Divided,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
AZ,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Dem,Divided,Rep,Dem,Divided
AR,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
CA,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
CO,Split,Dem,Divided,Divided,Dem,Divided,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
CT,Split,Dem,Divided,Divided*,Dem,Divided,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
DE,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
FL,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
GA,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
HI,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
ID,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
IL,Dem,Rep,Divided,Dem,Rep,Divided,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
IN,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
IA,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
KS,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Dem,Divided,Rep,Dem,Divided,Rep,Dem,Divided,Rep,Dem,Divided,Rep,Dem,Divided
KY,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Dem,Divided,Rep,Dem,Divided,Rep,Dem,Divided,Rep,Dem,Divided
KA,Rep,Dem,Divided,Rep,Dem,Divided,Rep,Dem,Divided,Rep,Dem,Divided,Rep,Dem,Divided,Rep,Dem,Divided,Rep,Dem,Divided
ME,Split,Rep,Divided,Divided,Rep,Divided,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
MD,Dem,Rep,Divided,Dem,Rep,Divided,Dem,Rep,Divided,Dem,Rep,Divided,Dem,Rep,Divided,Dem,Dem,Dem,Dem,Dem,Dem
