State Code,FIPS County Code,County Name,Metal Level,Issuer Name,Plan Type,Rating Area,Premium Adult Individual Age 21,Medical Deductible - Individual - Standard,Medical Maximum Out Of Pocket - Individual - Standard
AK,2013,Aleutians East,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.74,"$1,500","$6,300"
AK,2013,Aleutians East,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$566.02,"$4,500","$7,700"
AK,2013,Aleutians East,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$374.36,"$6,350","$8,550"
AK,2013,Aleutians East,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$574.56,"$3,000","$7,000"
AK,2013,Aleutians East,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$372.85,"$5,800","$7,000"
AK,2013,Aleutians East,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.06,"$1,500","$6,300"
AK,2013,Aleutians East,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$373.70,"$6,350","$8,550"
AK,2016,Aleutians West,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.74,"$1,500","$6,300"
AK,2016,Aleutians West,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$566.02,"$4,500","$7,700"
AK,2016,Aleutians West,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$374.36,"$6,350","$8,550"
AK,2016,Aleutians West,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$574.56,"$3,000","$7,000"
AK,2016,Aleutians West,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$372.85,"$5,800","$7,000"
AK,2016,Aleutians West,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.06,"$1,500","$6,300"
AK,2016,Aleutians West,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$373.70,"$6,350","$8,550"
AK,2020,Anchorage,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$486.87,"$1,500","$6,300"
AK,2020,Anchorage,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$560.42,"$4,500","$7,700"
AK,2020,Anchorage,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$370.65,"$6,350","$8,550"
